 country_name,iso,occurrence2000to2016,Total deaths,Total affected,Population,Deaths/Population,Affected/Population,Total damage -000USD,GDP -000000USD,Damage/GDP,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature ,Flood,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire
Afghanistan,AFG,122,10083,8100649,32526562,0.000309993,0.249047194,173110,"19,331",0.008955046,0,4,16,16,5,62,0,0,0,0,5,0,0
Albania,ALB,17,23,892885,2889167,7.96077E-06,0.309045825,17673,"11,398",0.001550535,0,0,1,1,3,9,0,0,0,0,2,0,1
Algeria,DZA,41,3763,447695,39666519,9.48659E-05,0.011286471,6480017,"166,839",0.038839942,0,0,6,0,1,30,0,0,0,0,3,0,1
American Samoa,ASM,4,40,25563,55538,0.000720228,0.460279448,200000,641,0.31201248,0,0,1,0,0,1,0,0,0,0,2,0,0
Angola,AGO,52,4913,3092641,25021974,0.000196347,0.123597003,10000,"102,627",9.74402E-05,0,3,0,13,0,35,0,0,1,0,0,0,0
Antigua and Barbuda,ATG,2,,30800,91818,0,0.335446209,12600,"1,259",0.010007943,0,0,0,0,0,0,0,0,0,0,2,0,0
Argentina,ARG,57,360,1373771,43416755,8.29173E-06,0.031641494,5061410,"583,169",0.008679148,0,2,1,1,6,28,0,0,2,0,12,3,2
Armenia,ARM,5,1,373750,3017712,3.31377E-07,0.12385211,160000,"10,529",0.015196125,0,1,0,0,1,1,0,0,1,0,1,0,0
Australia,AUS,93,805,378852,23781169,3.38503E-05,0.015930756,29834654,"1,339,141",0.022278949,0,2,0,1,2,31,0,2,0,0,36,0,19
Austria,AUT,20,395,61916,8611088,4.58711E-05,0.007190264,6005000,"376,950",0.015930495,0,0,0,0,5,8,0,0,1,0,6,0,0
Azerbaijan,AZE,9,50,132293,9651349,5.18062E-06,0.013707203,165000,"53,047",0.003110449,0,1,3,0,1,3,0,0,1,0,0,0,0
Bahamas,BHS,13,48,38210,388019,0.000123705,0.098474559,2625000,"8,854",0.296476169,0,0,0,0,0,1,0,0,0,0,12,0,0
Bangladesh,BGD,119,10627,92730014,160995642,6.6008E-05,0.575978411,6148000,"195,079",0.031515437,0,1,5,8,12,32,0,0,4,0,57,0,0
Barbados,BRB,5,1,5381,284215,3.51846E-06,0.01893285,5200,"4,385",0.001185861,0,1,1,0,0,0,0,0,0,0,3,0,0
Belarus,BLR,6,11,44775,9513000,1.15631E-06,0.004706717,40300,"54,609",0.000737974,0,0,0,0,5,0,0,0,0,0,1,0,0
Belgium,BEL,25,2550,3373,11285721,0.000225949,0.000298873,952146,"455,086",0.002092233,0,0,0,0,7,9,0,0,0,0,9,0,0
Belize,BLZ,11,55,171670,359287,0.000153081,0.477807435,552004,"1,753",0.314891044,0,0,0,0,0,2,0,0,0,0,9,0,0
Benin,BEN,27,945,1238147,10879829,8.6858E-05,0.113802064,,"8,291",0,0,0,0,17,0,8,0,0,0,0,1,0,1
Bermuda,BMU,1,4,,65235,6.13168E-05,0,300000,"5,574",0.053821313,0,0,0,0,0,0,0,0,0,0,1,0,0
Bhutan,BTN,5,224,21028,774830,0.000289096,0.027138856,,"2,058",0,0,0,2,0,0,2,0,0,0,0,1,0,0
Bolivia,BOL,46,890,3928368,10724705,8.2986E-05,0.366291474,1169500,"32,998",0.035441542,0,7,0,4,5,21,0,0,4,0,2,0,3
Bosnia and Herzegovina,BIH,22,46,1413065,3810416,1.20722E-05,0.370842711,821580,"16,192",0.050739872,0,2,0,1,4,13,0,0,1,0,1,0,0
Botswana,BWA,10,487,175281,2262485,0.00021525,0.077472779,49000,"14,390",0.003405142,0,1,0,2,0,6,0,0,0,0,1,0,0
Brazil,BRA,91,2925,42209460,207847528,1.40728E-05,0.203078961,13880870,"1,774,725",0.00782142,0,8,1,4,3,62,0,0,6,0,7,0,0
Bulgaria,BGR,36,168,60840,7177991,2.34049E-05,0.008475909,1420304,"50,199",0.028293472,0,1,2,0,8,18,0,0,0,0,3,0,4
Burkina Faso,BFA,29,8752,7516093,18105570,0.000483387,0.415126008,181176,"10,678",0.016967222,0,3,0,12,0,13,0,1,0,0,0,0,0
Burundi,BDI,42,753,3258560,11178921,6.73589E-05,0.29149146,13000,"3,097",0.004197611,0,5,1,9,0,21,0,0,1,0,5,0,0
Cambodia,KHM,22,1177,14635667,15577899,7.55558E-05,0.939514822,1305100,"18,050",0.072304709,0,4,0,3,0,13,0,0,0,0,2,0,0
Cameroon,CMR,26,1637,407223,23344179,7.01245E-05,0.017444306,,"28,416",0,0,2,0,12,0,11,0,0,1,0,0,0,0
